CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8165194,2016,11/9/2016,1304,9/14/2016,1910,344,4,3,5,4,1304,0,0,0,,0,WEST,IMPERIAL,ADAMS,0,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,IMPERIAL,EL CENTRO,-115.5699801,32.7964801
8896922,2019,8/7/2019,1304,7/3/2019,1414,327,EWEST,3,5,4,1304,0,0,0,,0,WEST,BRIGHTON,12TH,0,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,5,21650,1,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,L,4,0,1,0,0,0,0,1,0,0,- ,- ,32.78969955,-115.5650024,IMPERIAL,EL CENTRO,-115.5654907,32.78976059
9164086,2020,12/1/2020,1304,9/10/2020,1122,337,E1,4,5,4,1304,0,0,0,,0,EAST,ADAMS,6TH,62,E,N,A,-,Y,IMP,11,86,-,L,7.76,H,-,N,N,3,0,1,2,A,-,3,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,- ,- ,,,IMPERIAL,EL CENTRO,-115.5569458,32.79655838
9273981,2021,7/1/2021,1304,6/5/2021,1250,359,,6,5,4,1304,0,0,0,,0,,DOGWOOD RD,WAKE AV,67,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,8,22107,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,1,0,1,0,0,0,0,0,0,0,- ,- ,,,IMPERIAL,EL CENTRO,-115.5352173,32.77083206
90126669,2016,3/1/2016,9620,2/25/2016,920,14306,,4,1,9,1300,0,3,5,,2,60,SR-78,OGILBY RD.,25,E,N,A,-,Y,,,78,,,,,,,Y,3,0,4,2,A,-,9,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,7,0,1,3,0,0,0,0,0,0,- ,- ,33.0853,-114.9116,IMPERIAL,UNINCORPORATED,-114.9116318,33.08543561
90175074,2016,5/9/2016,9625,5/5/2016,1347,18792,,4,1,9,1300,0,3,5,,2,10,AZURE AVE,SAN MARINO ST,72,S,N,A,-,N,,,,,,,,,,Y,2,0,2,1,A,-,8,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,A,1,1,1,0,0,0,0,0,0,0,- ,- ,33.29803,-115.97478,IMPERIAL,UNINCORPORATED,-115.9747208,33.2979831
90404436,2017,3/2/2017,9625,2/26/2017,1155,18279,,7,1,4,1304,0,1,3,,2,24,STATE ROUTE 78,GECK PARK ROAD,6336,W,N,A,-,Y,,,,,,,,,,Y,4,0,1,1,A,-,3,22350,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,1,0,0,1,0,0,0,0,0,0,- ,- ,32.96901,-115.19284,IMPERIAL,EL CENTRO,,
91167069,2020,1/29/2020,9625,1/6/2020,2124,18773,,1,2,9,1300,0,1,3,,2,53,SR-111 SOUTHBOUND,SR-86,0,,Y,A,-,Y,,,111,,,,,,S,Y,1,1,4,2,A,-,9,21453,C,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,1,2,2,0,0,0,0,0,0,0,- ,- ,32.73060989,-115.5005493,IMPERIAL,UNINCORPORATED,-115.5004044,32.73061371
91593137,2021,10/11/2021,9625,10/3/2021,1120,17727,,7,1,9,1300,0,1,3,,1,21,SR-111,RUTHERFORD ROAD,0,,Y,A,-,Y,,,111,,,,,,,Y,2,0,4,2,A,-,9,21801,A,F,A,C,A,A,H,-,A,D,0,,,,,Y,,A,1,2,0,2,0,0,0,0,0,0,- ,- ,33.04449844,-115.527298,IMPERIAL,UNINCORPORATED,-115.5273361,33.04450226
8121704,2016,9/19/2016,1304,8/26/2016,804,E0104,,5,5,4,1304,0,0,0,,0,,STATE,2ND ST,0,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,8,22103,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,- ,- ,32.7917,-115.5461,IMPERIAL,EL CENTRO,-115.54647,32.79177008
