CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6293000,1,1,3,M,62,1,9,-,-,3,IMPERIAL,WESTMORLAND,2016
6678384,2,1,3,F,47,1,9,-,-,3,IMPERIAL,EL CENTRO,2017
6718637,2,1,3,F,71,1,9,-,-,3,IMPERIAL,EL CENTRO,2017
6718641,2,1,3,F,68,1,0,-,-,3,IMPERIAL,EL CENTRO,2017
7159479,1,1,1,F,37,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7159507,2,1,1,F,57,3,1,M,G,0,IMPERIAL,EL CENTRO,2016
7166661,1,1,3,M,14,4,9,-,-,3,IMPERIAL,EL CENTRO,2016
7168425,2,1,1,M,33,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7173720,1,1,2,F,13,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
7173720,1,2,2,F,9,0,4,M,G,0,IMPERIAL,EL CENTRO,2016
7173720,2,1,1,M,44,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7174170,2,1,1,M,58,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7178540,1,1,1,M,21,4,1,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,1,2,M,5,4,5,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,2,2,M,4,0,4,M,G,0,IMPERIAL,BRAWLEY,2016
7178540,2,3,2,M,0,0,6,M,G,0,IMPERIAL,BRAWLEY,2016
7183623,2,1,4,M,68,3,9,-,-,3,IMPERIAL,EL CENTRO,2016
7183623,2,2,2,F,75,0,6,M,G,0,IMPERIAL,EL CENTRO,2016
7183623,2,3,2,M,83,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,1,1,1,M,19,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,2,1,1,F,44,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7183656,2,2,2,F,42,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7183914,1,1,4,M,13,3,1,P,V,2,IMPERIAL,EL CENTRO,2016
7188766,1,1,2,F,22,0,3,L,G,0,IMPERIAL,EL CENTRO,2016
7188766,2,1,2,F,78,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7189018,2,1,1,F,61,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7197703,1,1,2,F,18,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7197703,2,1,2,-,70,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7197703,2,2,1,M,74,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198341,2,1,2,F,83,3,3,L,G,0,IMPERIAL,EL CENTRO,2016
7198341,2,2,1,M,85,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198342,1,1,1,F,24,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198342,1,2,2,M,3,4,6,M,Q,0,IMPERIAL,EL CENTRO,2016
7198342,1,3,2,F,6,4,4,M,Q,0,IMPERIAL,EL CENTRO,2016
7198485,1,1,1,-,54,4,1,L,G,0,IMPERIAL,CALEXICO,2016
7198489,2,1,1,F,32,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7198490,1,1,1,M,22,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198490,1,2,2,M,998,4,3,L,G,0,IMPERIAL,EL CENTRO,2016
7198490,2,1,1,M,50,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198491,2,1,1,F,76,4,1,M,G,3,IMPERIAL,EL CENTRO,2016
7198491,2,2,2,F,97,4,3,M,G,3,IMPERIAL,EL CENTRO,2016
7198492,1,1,1,F,66,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
7198492,2,1,1,M,85,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7198493,1,1,1,M,17,3,1,L,G,0,IMPERIAL,EL CENTRO,2016
7199652,1,1,4,M,69,1,9,-,-,3,IMPERIAL,CALEXICO,2016
7201563,2,1,4,-,26,4,9,-,V,3,IMPERIAL,BRAWLEY,2016
7201571,1,1,1,M,30,4,1,-,-,3,IMPERIAL,BRAWLEY,2016
7210040,1,1,2,M,5,4,4,P,S,0,IMPERIAL,EL CENTRO,2016
7210040,1,2,2,F,8,4,6,P,G,0,IMPERIAL,EL CENTRO,2016
7210486,1,1,1,M,54,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210490,2,1,1,M,28,4,1,P,W,3,IMPERIAL,EL CENTRO,2016
7210494,2,1,1,F,36,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210494,3,1,1,F,37,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,1,1,F,15,4,1,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,2,2,F,12,4,3,M,G,0,IMPERIAL,EL CENTRO,2016
7210522,1,3,2,F,14,3,6,M,G,0,IMPERIAL,EL CENTRO,2016
8005264,1,1,2,F,22,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8005264,2,1,1,F,62,4,1,-,-,0,IMPERIAL,EL CENTRO,2016
8005276,1,1,2,F,65,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8005276,2,1,1,M,44,4,1,P,-,0,IMPERIAL,EL CENTRO,2016
8013893,1,1,1,M,25,4,1,L,B,0,IMPERIAL,EL CENTRO,2016
8018376,2,1,1,F,30,4,1,L,G,0,IMPERIAL,EL CENTRO,2016
8018384,2,1,2,F,35,0,3,M,G,0,IMPERIAL,EL CENTRO,2016
8018384,2,2,2,F,15,4,6,M,G,0,IMPERIAL,EL CENTRO,2016
8018388,2,1,1,M,40,4,1,P,G,0,IMPERIAL,EL CENTRO,2016
